youthPolicy.rnum,youthPolicy.bizId,youthPolicy.polyBizSecd,youthPolicy.polyBizTy,youthPolicy.polyBizSjnm,youthPolicy.polyItcnCn,youthPolicy.sporCn,youthPolicy.sporScvl,youthPolicy.bizPrdCn,youthPolicy.prdRpttSecd,youthPolicy.rqutPrdCn,youthPolicy.ageInfo,youthPolicy.majrRqisCn,youthPolicy.empmSttsCn,youthPolicy.splzRlmRqisCn,youthPolicy.accrRqisCn,youthPolicy.prcpCn,youthPolicy.aditRscn,youthPolicy.prcpLmttTrgtCn,youthPolicy.rqutProcCn,youthPolicy.pstnPaprCn,youthPolicy.jdgnPresCn,youthPolicy.rqutUrla,youthPolicy.rfcSiteUrla1,youthPolicy.rfcSiteUrla2,youthPolicy.mngtMson,youthPolicy.mngtMrofCherCn,youthPolicy.cherCtpcCn,youthPolicy.cnsgNmor,youthPolicy.tintCherCn,youthPolicy.tintCherCtpcCn,youthPolicy.etct,youthPolicy.polyRlmCd
102,R2023070716237,전북,지자체,전주기업반 취업지원 사업,지역기업 맞춤형 전문인력 양성으로 청년취업 및 기업경쟁력을 강화하고 청년의 지역정착 유도,대학에는 취업연계 직무교육비 지원 지역기업에 취업한 청년에는 취업장려금 지원,2개교 30명,2023.01~2023.12.31.,2005,-,만 18세 ~ 34세,제한없음,미취업자,제한없음,대졸 예정,전주시 소재 대학교 졸업예정 학년인 청년,-,재정지원 일자리사업 중복참여 금지,전주시 홈페이지 공고문 참조,주관기관 직접 문의,전주시 홈페이지 공고문 참조,해당없음,https://www.jeonju.go.kr/,null,전주시청 청년정책과 청년일자리팀,유지선 주무관,063-281-2543,-,- -,-,해당사항없음,일자리
103,R2023070716236,전북,지자체,청년어학시험비 지원,미취업청년 대상 어학시험비 응시료 지원,미취업청년 대상 어학시험비 지원,600명정도,2023.03.~,2004,2023.05.11.~2023.05.25.(예산소진시 조기 종료),만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,전주시에 거주하는 구직 청년,1인당 연 1회 10만원 한도,해당없음,신청서 방문 접수 온라인 접수,신청서 주민등록초본 응시사실 확인자료 시험응시 결제 영수증 건강보험자격득실확인서 통장사본,6월 10일 경 문자통보,http://youth.jeonju.go.kr,https://youth.jeonju.go.kr/,https://www.jeonju.go.kr/youth_new/index.9is?contentUid=9be517a7874b81cd01880471e25d14c8&subPath=,전주시청 청년정책과 청년정책팀,김은형 주무관,063-281-5314,전주시,- -,-,해당사항 없음,일자리
104,R2023070716234,전북,지자체,청년면접정장 무료대여 지원사업,청년 취업준비기간 장기화에 따른 경제적 부담 증가 해소를 위한 면접용 정장 지원 정책을 추진하여 경제적 지원 강화,전주시 내에 위치한 면접정장 대여점과 협약을 통해 청년에게 면접정장(정장 넥타이 벨트 구두 등)을 무료로 대여,구직자 대상 연 500회(1인당 연 3회 한정),2023.01.16. ~ 2023.12.29.,2004,"2023.01.16.~ 예산 소진 시 까지
※ 예산 소진으로 인한 마감",만 18세 ~ 34세,제한없음,제한없음,제한없음,제한없음,전주시에 거주하는 구직 청년,-,1인당 연3회 이상 이용 제한,신청서 방문 접수 온라인 접수,"- 정장대여신청서 개인정보 수집 이용 및 제공 동의서



- 주민등록 초본



- (정장반납시) 면접확인증",해당사항 없음,https://youth.jeonju.go.kr/index.9is,https://youth.jeonju.go.kr/index.9is,null,전주시청 청년정책과 청년정책팀,홍혁현 주무관,063-281-5319,-,- -,-,해당사항 없음,일자리
105,R2023070716231,전북,지자체,청년 매입 임대주택 공급,높은 주거비 취업률 감소 등으로 어려움을 겪고 있는 저소득 청년가구에게 안정적으로 거주할 수 있는 임대주택을 매입·공급하여 청년층의 주거안정 도모,대학교 주변의 기존 주택(다가구 다세대 오피스텔 등)을 매입하여 무주택 청년에게 시세의 30프로수준의 저렴한 임대주택 공급,10명,2023.01.01. ~ 2023.12.31.,2004,2023.05.15.~2023.05.17.,만 19세 ~ 39세,제한없음,제한없음,제한없음,제한없음,무주택 미혼 청년(대학생 및 취업준비생),계약기간 : 2년 2회 연장 가능(최대 6년),해당 없음,신청서 방문 접수,"- 입주신청서 개인정보 수집 이용 및 제공 동의서

- 주민등록 초본 등본 가족관계증명서 각1부

- 무주택 및 소득 증빙서류

- 재학증명서(대학생에 한함)",해당사항 없음,https://www.jeonju.go.kr/planweb/board/view.9is?dataUid=9be517a88020ab7301804b2b8f56721e&boardUid=9be517a74f72e96b014f8632a66117e2&contentUid=9be517a74f72e96b014f865cd380199d,https://www.jeonju.go.kr/planweb/board/view.9is?dataUid=9be517a8874b82ad0187fed3ff3e5138&boardUid=9be517a74f8dee91014f90e99b360624&contentUid=9be517a78020a9620182ee53bb5b389c,https://www.jeonju.go.kr/,전주시청 건축과 공공주택팀,장규진 주무관,063-281-5246,-,- -,-,해당사항 없음,일자리
106,R2023070716230,전북,지자체,경력단절여성 One-Stop 취업 지원,임신 출산 육아 등으로 경력이 단절된 여성을 대상으로 취업상담 직업교육훈련 사후관리 등 종합적인 취업지원 서비스를 원스톱으로 제공,"- 취업설계사를 통한 구인구직 상담 취업알선 및 연계 동행면접

- 자격증 취득 사회문화교육 등 직업훈련교육

- 취업 후 지속적인 고용위지를 위한 취업자 및 채용기업 사후관리",-,2023.01.01. ~ 2023.12.31.,2005,#NAME?,만 99세 이하,제한없음,제한없음,여성,제한없음,구직여성,-,해당 없음,직접 방문 전화 상담,해당사항 없음,해당사항 없음,http://www.jjwoman.or.kr,https://www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103003005007,http://jjwoman.or.kr,전주시청 여성가족과 여성정책팀,유설현 주무관,063-281-2866,전주여성인력개발센터(전주여성새로일하기센터),- -,063-232-2342~3 2346~7 2348,해당사항 없음,일자리
107,R2023070716248,전북,지자체,전북형 청년내일채움공제 사업,청년층 미취업자를 대상으로 중소기업 등의 인턴기회를 제공하여 직무경력과 정규직 취업가능성을 제고하고 중소기업 등에 정규직으로 취업한 청년들의 자산형성을 지원하여 장기근속을 유도하며 대기업과 중소기업의 임금격차를 완화,"정규직 채용된 청년근로자에게 2년 근무시 1200만원 참여기업은 최대 780만원 지원

청년 2년형 : 1200만원+이자(근로자300 기업300(정부지원금300) 정부 600)

기업 2년형 : 도비 480만원",40명,2023.01.01. ~ 2023.12.31.,2004,2023.3.~지원대상자 확정시까지,만 15세 ~ 34세,제한없음,재직자,제한없음,제한없음,전주시 소재 상시근로자 5인 이상 중소기업 만 15~34세 청년이 고용노동부 청년내일채움공제에 가입한 기업,-,해당 없음,공제위탁 운영기관에 접수,전북 청년내일채움공제 지원금 신청서 근로자 주민등록초본 개인정보 이용 동의서 재직증명서 (기업)통장사본 청년공제 가입증서 또는 청년공제계약정보(고용안정정보망) 공제부금 납입확인서(고용안정정보망) 위탁기관-실시기업의 청년공제 지원 협약서 사업자등록증 공장등록증,해당사항 없음,해당 없음,https://www.jeonju.go.kr/index.9is?contentUid=9be517a76d4e0de4016d94acaf39593e,https://www.jeonju.go.kr/,전주시청 청년정책과 청년일자리팀,정지현 주무관,063-281-5151,"-(사)전북경영자총연합회
-베스트인전북지사
-상공회의소",- -,-,해당사항 없음,일자리
108,R2023070716228,전북,지자체,청년취업지원사업(청년취업 2000),청년 미취업자를 대상으로 기업체 근무경험을 제공함으로써 직장 경력을 형성케 하고 정규직으로 전환함으로써 청년실업 해소와 기업 인력 수급 활성화,청년미취업자 신규채용 기업에 인건비 보조 및 청년취업자에게 장려금 지급,25명,2023.01.01. ~ 2023.12.31.,2005,모집 공고시 신청접수,만 18세 ~ 39세,제한없음,미취업자 또는  단기근로자 (6개월미만 근무자),제한없음,제한없음,전주시 거주자이면서 미취업자 또는 6개월미만 근무자,상시근로자 수의 40프로 범위 내에서 지원,재정지원 일자리사업 중복참여 금지,-,"1. 청년취업 채용신청서 1부
2. 청년취업 운영계획서 1부
3. 청년취업 지원신청서(참여자용) 1부
4. 청년취업 선발자 명단통보서 1부
5. 청년취업 약정서 1부
6. 표준근로계약서 1부
7. 정규직명단 통보서(정규직으로 바로 채용시) 1부
8. 청년취업지원 협약서 2부
9. 개인정보 이용에 대한 동의서(업체용 청년취업자용) 각 1부
10. 사업자등록증 1부
11. 국세 지방세 납세증명서 각 1부
12. 고용보험가입자목록(직전3개월 ~ 매월 말일 기준) 1부
13. 청년취업자 주민등록등본 1부
4. 청년취업 선발자 명단통보서 1부 5. 청년취업 약정서 1부. 6. 표준근로계약서 1부.

7. 정규직명단 통보서(정규직으로 바로 채용시) 1부 8. 청년취업지원 협약서 2부 9. 개인정보 이용에 대한 동의서(업체용 청년취업자용) 각 1부.

10. 사업자등록증 1부 11. 국세 지방세 납세증명서 각 1부 12. 고용보험가입자목록(직전3개월 ~ 매월 말일 기준) 1부.
 13. 청년취업자 주민등록등본 1부.  끝",-,-,https://youth.jeonju.go.kr/index.9is?contentUid=9be517a76d4e0de4016d94a9244b584d,https://www.jeonju.go.kr/main/index.jsp,전주시청 청년정책과 청년일자리팀,정지현 주무관,063-281-5151,-,- -,-,해당사항 없음,일자리
109,R2023070716247,전북,지자체,전주형 일자리지원센터 운영,구인구직 만남의 날 운영 및 상시 구인등록과 취업알선 시스템 구축으로 시민 대상 취업 지원,구인구직 만남의 날 행사 실시 및 전화 방문 인터넷을 통한 구직상담 및 취업알선,-,2023.01.01. ~ 2023.12.31.,2001,상시,만 99세 이하,제한없음,제한없음,제한없음,제한없음,"일자리지원센터 취업상담 및 취업알선은 연중 가능
구인구직 만남의 날 행사의 경우 구인 5인이상 업체 참여 가능",-,-,유선 또는 방문,해당사항 없음,해당사항 없음,해당 없음,https://youth.jeonju.go.kr/index.9is?contentUid=9be517a7706ab9b201707b4ba41c584b,https://youth.jeonju.go.kr/,전주시청 일자리정책과 취업지원팀,정재리 주무관,063-281-2812,-,- -,-,해당사항 없음,일자리
110,R2023070716244,전북,지자체,맞춤형 기술인력 교육지원사업,청년 및 장년 실업자에게 기업에서 요구하는 맞춤형 기술교육을 실시하여 관련업체에 취업을 알선하고 우수 기능인력 양성으로 기업의 구인난과 청·장년 실업난을 해소하여 지역 경제 활성화 도모,"기업이 요구하는 자격증 취득 및 현장실습 교육 실시 후 훈련기관에는 훈련비를 지원하고 훈련생에게는 훈련수당을 지원하는 맞춤형 직업훈련 지원
훈련수당 : 1인당 매달 300천원",훈련기관 총 3개소 운영,2023.01. ~ 2023.12.,2005,훈련기관 별 개별모집,만 18세 ~ 65세,제한없음,제한없음,제한없음,제한없음,전주시 미취업 청년,-,해당 없음,훈련기관 자체모집,구직등록필증등 관련서류,해당사항 없음,해당 없음,https://youth.jeonju.go.kr/index.9is?contentUid=9be517a76d4e0de4016d941aa0fa28d3,https://youth.jeonju.go.kr/,전주시청 일자리정책과 취업지원팀,서민경 주무관,063-281-2555,-,- -,-,해당사항 없음,일자리
111,R2023070716221,전북,지자체,전북형 청년취업 지원사업,청년층 미취업자를 대상으로 중소기업 등의 수습기회를 제공함으로 직장경력 및 정규직으로 취업가능성을 제고하여 기업의 청년층 고용촉진,실시기업에 대하여 최장 12개월(수습 3개월 정규직 전환 시 9개월)동안 채용인원 1인당 월 70만원 지원 청년취업자에게 지원개시일부터 6개월 12개월 24개월 경과 시 각100만원(총300만원)씩 분할 지급,25명,2023.01.01.~2023.12.31.,2004,2023.01.04.(수) ~ 2023.01.11.(수),만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,전라북도에 거주중인 미취업자 또는 채용기업에서 6개월 미만 근무자,정규직 전환시 (70만원 ×9개월) 추가지원(최대 12개월 지원),참여기업의 3개월 이상 근무자 외국인 다른 재정지원 사업에 중복 참여자,익산고용복지+센터 또는 시청 기업일자리과(익산 종합운동장 동문 임시청사),청년취업채용신청서 청년취업운영계획서 청년취업지원신청서 개인정보 동의서 청년취업선발자 명단통보서 청년취업약정서 표준근로계약서 청년취업지원협약서,신청서 접수 후 익월 심사 및 발표,해당 없음,https://www.iksan.go.kr/board/view.iksan?boardId=BBS_IKSAN_NEWS&menuCd=DOM_000002003008001000&orderBy=REGISTER_DATE%20DESC&startPage=7&dataSid=936754,-,익산시청 기업일자리과,유경택 주무관,063-859-5292,익산시 고용복지플러스센터,#NAME?,063-840-6592,제외대상 기업 : 소비향락업체 근로자파견업체 학교 등,일자리
112,R2023070716200,전북,지자체,청년취업 역량강화 프로그램 운영,취업준비생들에게 취업에 꼭 필요한 실전 위주의 프로그램을 제공하여 목표를 행동으로 실천하여 취업 성공률 제고에 기여,취업준비생들에게 취업 마인드 확립 취업역량 강화 취업 스킬 향상 등 취업에 필수적인 교육지원,-,2023.01.~11.,2004,2023.01. ~ 2023.11. ,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,익산시에 거주하는 만18세~39세 미취업 청년,해당 없음,프로그램신청 후 무단 불참석자,"익산청년시청 홈페이지 로그인 후 신청
",해당사항 없음,추첨,https://youthforest.iksan.go.kr,https://youthforest.iksan.go.kr, ,익산시청 기업일자리과,최지원 주무관,063-859-7385,-,- -,-,해당사항 없음,일자리
113,R2023070716213,전북,지자체,공공부문 청년멘토 사업,"미취업 지역대학 졸업 청년에게 공공기관 실무경험의 기회 제공을 통해 청년의 경제적 부담을 완화하고
구직역량을 제고하여 취업 성공을 위한 마중물로 청년취업 촉진을 도모",공공행정업무 경험을 통한 취업역량 강화,15명,2023. 2. ~ 12.,2004,2023.05.31.~2023.06.07.(추가모집),만 18세 ~ 39세,제한없음,미취업자,제한없음,대학 졸업,"공고일 기준 주민등록이 군산시에 되어있고 만 39세 이하 미취업상태
- 관내 5개 대학(군산대 군장대 호원대 군산간호대 서해대) 졸업자
- 가구별 중위소득 180% 이하인 자",-,"사업 개시일 이후 중앙부처 도 시군 재정지원 일자리 사업 참여자
- 신청서 개인정보 수집이용동의서 등 신청 구비서류를 제출하지 않거나 허위로 제출한 자
- 기타 지방자치단체의 장이 근로가 불가하다고 판단되는 자",방문 또는 우편접수,참가신청서 개인정보수집이용동의서 초본 졸업증명서 가족관계증명서 건강보험료 납부확인서 건강보험 자격확인서,개별 통보,해당사항 없음,http://eminwon.gunsan.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do,해당사항 없음,군산시 일자리정책과,유민훈 주무관,063-454-4384,군산시,- -,-,-,일자리
114,R2023070716209,전북,지자체,출향청년 채용 전주기업 취업지원사업,출향청년의 지역 유턴으로 지역 기업의 인력난 해소와 청년 고용기회 확대하는 동시에 청년의 지역정착을 지원하기 위해 기업에는 채용지원금을 청년에는 취업장려금을 지원,기업에는 채용지원금 지원(출향청년 정규직 채용1인당 월 100만원 최대 12개월) 청년은 취업장려금 지원(최대 900만원 6개월 1년 2년 경과 시 각 300만원) ,16명,2023.01~2023.12.31.,2004,2023.01.18.~2023.02.17.,만 18세 ~ 39세,제한없음,미취업자 또는  단기근로자( 채용기업에서 1개월 미만 근무자),제한없음,제한없음,전북에 주소를 둔 적이 있고 신청일 현재 전북지역 외 거주자 중 만18세~39세 이하의 전주시 전입 청년 *기타 자세한 청년의 자격요건은 전주시청 누리집 고시공고 참고,-,재정지원 일자리사업 중복참여 금지,신청서 방문 및 등기우편 접수,"[필수서류]

 1) 출향청년 채용지원 신청서(기업용) 1부.
 2) 확인서(기업용) 1부.
 3) 출향청년 취업지원 신청서(참여자용) 1부.
 4) 개인정보 이용에 대한 동의서(기업용 개인용) 각 1부.
 5) 출향청년 채용 선발자 명단통보서(기업용) 1부.
 6) 출향청년 채용약정서 1부.
 7) 표준근로계약서 1부.
 8) 출향청년 채용지원 협약서 2부.
 9) 사업자등록증 1부.
 10) 국세·지방세 납세증명서 각 1부.
 11) 고용보험가입자목록(예시:’22년 10∼12월 ― 매월 말일 기준) 1부.
 12) 출향청년 취업자 주민등록초본 1부(과거주소이력 전체 포함).

[선택사항]-증빙서류 제출시 가점처리(2개이상 항목 제출 가능)
 1) 최근2년간 고용부 고용창출 100대 우수기업 선정기업
 2) 도·시군 취업박람회 참여기업
 3) 전년도 고용부 지역산업맞춤형 일자리창출 사업 교육생 채용기업
 4) 고용부 청년친화 강소기업
 5) 청년내일채움공제 가입기업",해당없음,해당없음,https://www.jeonju.go.kr/,https://www.jeonju.go.kr/youth_new/index.9is?contentUid=9be517a7874b81cd0188047106ce1490&subPath=,전주시청 청년정책과 청년일자리팀,유지선 주무관,063-281-2543,-,- -,-,해당사항없음,일자리
115,R2023070716204,전북,지자체,전북 청년내일채움공제,중소기업 등에 정규직으로 취업한 청년들의 자산형성을 지원하는 사업으로써 미취업 청년의 정규직 일자리 취업촉진 및 대기업과 중소기업의 임극격차 완화,"- 실시기업에 대하여 480만원 지원 
- 실시 기업에게 6개월 12개월내 주기로 2회 분할하여 지원금 지급",-,2023.01.01.~2023.12.31.,2001,수시 접수,만 15세 ~ 34세,제한없음,재직자,중소기업,제한없음,청년공제에 가입한 전북소재 상시근로자 5인 이상 중소기업 중 제조건설업체 근로자,정규직 채용일 전후 3개월 이내 중소기업진흥공단 청년공제 가입을 위한 청약 신청을 하여야 함,정규직 취업일 현재 고용보험 가입이력이 없거나 최종학교 졸업 후 고용보험 가입기간이 12개월 이하인 자,"- 청년 기업 내일채움공제 가입 후 시군에 신청서 제출  
- 시군에서 참여자격 검토 및 접수
",전북 청년내일채움공제 지원금 신청서 근로자 주민로본 개인정보 이용 동의서 재직증명서 통장사본 청년공제 가입증서 또는 청년공제계약정보 공제부금 납입확인서 위탁기관-실시기업의 청년공제 지원 협약서 사업자등록,수행기관에서 심사 후 운영기관 통보,https://www.sbcplan.or.kr/main.do,해당사항 없음,http://www.iksan.go.kr/index.iksan,익산시청 일자리정책과,김유향 주무관,063-859-5237,-,- -,-,해당사항 없음,일자리
116,R2023070716166,전북,지자체,애향장려금 지원,관내 중소제조업체에 취업한 청년층 근로자의 사기 진작 및 애향심 고취를 통한 친 기업도시 기반을 조성,1인당 1백만원,50명,2023.1.~12.,2002,2023.2.6~17,만 15세 ~ 34세,제한없음,재직자,제한없음,제한없음,"관내 취업대상 기업에 취업하여 6개월 이상 근무한 근로자 중 다음 각 호에 어느 해당하는 자
① 본인 또는 부모의 등록기준지가 남원시인 근로자
② 남원시 소재 중?고등학교를 졸업한 근로자
③취업일 이전 10년 이상 남원시에 주소를 둔 근로자
* 대상기업 : 본사 지사 또는 공장 등 사업장을 남원시에 두고 상시 고용인원 3인 이상의 제조업을 하는 사업체",-,1인당 1회에 한함 이전에 타 기업 소속으로 지급받은 경우도 제외,우편 또는 방문접수,신청서 근로자 추천서 4대 사회보험 가입자 명부 졸업증명서 기본증명서 주민등록초본,서류 심사 후 개별통보,-,http://www.namwon.go.kr/,https://www.namwon.go.kr/board/view.do?menuCd=DOM_000000202001003000&boardId=BBS_0000005&dataSid=320316,경제농정국 기업지원과,이수현,063-620-6644,주관기관과 동일,- -,-,예산 미소진 시 8월 재공고,주거
117,R2023070716151,전북,지자체,구인구직만남의 날 운영,일자리 미스매칭 해소 및 취업지원 서비스 제공,"참여기업 및 면접 참여자 발굴 채용 면접 준비 및 진행
채용면접 준비 및 진행",-,2023.1.~12.,2005,-,만 99세 이하,제한없음,미취업자,제한없음,제한없음,-,-,-,남원시 일자리지원센터 문의,-,-,-,http://www.namwon.go.kr/,-,경제농정국 일자리경제과,김현순,063-620-5891,주관기관과 동일,- -,-,-,일자리
118,R2023070716150,전북,지자체,청년인턴 지원사업,취업경험이 부족한 청년 구직자에 대한 실무 경험을 부여하여 안정적인 구직활동 지원 및 취업대비 역량강화 도모 취업 전 실무 경험을 축적해 직장 적응률을 높이고 청년일자리 창출 도모,시간당 9620원 주·연차수당 지급 6대보험 가입 법정공휴일 유급휴일 적용,35명,2023.1.~12.,2002,2023.1./7.,만 19세 ~ 39세,제한없음,미취업자,제한없음,대학 졸업 (재학생/휴학생/대학원생/대학졸업예정자 제외),남원시 관내 주민등록상 거주자(구직자 등록을 한 사람 중 정기소득이 없는 자),기초생활 보장법 상 생계급여수급권자가 본 일자리사업에 참여시 가구의  소득 인정액 변동으로 수급권자에서 제외될 수 있음,"재학생/휴학생 대학원생 대학졸업예정자 공공근로사업 참여자 등

2021년 공공근로사업 중복 신청 불가",주소지 읍면동 행정복지센터 방문접수,"참여 신청서 개인정보 수집이용제공 동의서 가족관계증명서(미혼 : 부 또는 모 기준/ 기혼 : 본인기준) 중고교 졸업증명서(남원 지역 중고교 졸업의 경우)

최종학력 졸업증명서 재산세과세증명서 * 해당 없을 시 미과세 증명서(전국/ 미혼인 경우 부모?본인 각 1부 기혼인 경우 본인·배우자 각 1부)

- 해당 시 : 한부모증명서 수급자증명서 차상위증명서 장애인증명서",서류심사 후 개별통보,-,http://www.namwon.go.kr/,-,경제농정국 일자리경제과,백경종,063-620-6356,주관기관과 동일,- -,-,-,일자리
119,R2023070716149,전북,지자체,농식품기업 청년인턴 취업지원,청년에게 적합한 지역일자리를 발굴하고 제공하여 자산형성이 가능한 수준의 소득을 창출하는 지속가능한 경제활동 지원,(청년) 직접 일자리 제공 및 인센티브 지원 (기업) 인건비 지원,-,2023.3.~12.,2004,2023.1.~2.,만 19세 ~ 39세,제한없음,미취업자,제한없음,제한없음,미취업자 및 이에 준하는 자,(기업) 식품제조가공업으로 등록한 생산자단체 또는 식품기업,포기 후 재 참여자,방문접수,사업신청서 1부 개인정보 수집 이용 조회 제공동의서 1부 주민등록 등본 1부 최종학력증명서 1부,서류 및 면접 심사 후 개별통보,-,http://www.namwon.go.kr/,-,경제농정국 농촌활력과,안재희,063-620-6681,주관기관과 동일,- -,-,-,일자리
120,R2023070716140,전북,지자체,청년지원센터 운영,청년지원센터 운영 : 관내 청년 창업 취업 교육 SNS 활동지원 등 다양한 청년정책 수립 및 시행,청년지원센터 수탁 운영비 지원,예산범위 내,연중,2001,연중상시 운영,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,정읍시 관내 청년,-,제한없음,별도 신청절차 없음,-,-,-,http://www.청정지대.kr/,https://www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103003005001,정읍시청 일자리정책과,최도연 주무관,063-539-8122,정읍시,정읍시청년지원센터 나경진,1544-8834,-,복지
121,R2023070716122,전북,지자체,청년 면접 정장 대여사업,미취업 구직 청년에게 면접 정장 대여를 지원하여 구직비용부담을 경감하고 취업 성공을 독려하고자함,면접정장 대여,null,2023.1.~예산소진시,2001,2023. 1. ~ 예산소진시,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,익산시에 거주하는 만 18~39세 미취업 구직 청년,해당없음,해당없음,온라인접수,"- 신청서 주민등록초본 면접증빙자료 등
- 자세한 사항은 시 홈페이지 공고/고시 참조",자격검토후통보,http://youthforest.iksan.go.kr/,https://youthforest.iksan.go.kr/board/view.iksan?boardId=BBS_0000015&menuCd=DOM_000000105002001000&paging=ok&startPage=1&dataSid=11639,https://www.iksan.go.kr/,익산시청 기업일자리과,최엄지 주무관,063-859-7358,-,- -,-,해당사항 없음,주거
122,R2023070716119,전북,지자체,김제청년 상생기업 일자리 지원사업,관내 중소.중견 제조기업에서 관내 청년 취업,인건비(월160만원) 주거비(최대30만원) 지원,50명,2023. 1. ~ 12.,2004,2023. 1. ~ 2.,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,김제청년 상생기업으로 선정된 관내 중소.중견 제조기업,2022년 참여자 4년차 계속 지원,관외자,방문 또는 이메일 접수,신청서,서류 및 자격 검토 후 선정 발표,https://www.ieda.or.kr/youth/s2_1_young.html?search=%EA%B9%80%EC%A0%9C%EC%B2%AD%EB%85%84+%EC%83%81%EC%83%9D%EA%B8%B0%EC%97%85+%EC%9D%BC%EC%9E%90%EB%A6%AC%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85+%EC%B0%B8%EC%97%AC%EC%82%AC%EC%97%85%EC%9E%A5,http://www.ieda.or.kr,null,김제시청 경제진흥과,최영현 주무관,063-540-3338,전북창조경제혁신센터,- -,063-545-2090,해당없음,일자리
123,R2023070716130,전북,지자체,취업청년정착수당지원사업,관내 중소·중견 제조업에 취업한 청년들을 지원하여 고용 창출을 촉진하고 장기근속을 유도하는 동시에 청년유출을 방지하여 지역정착 도모,5년간(분기별 반기별 일시불) 총 1800만원 지급,200명,2023. 1. ~ 12.,2001,예산범위내 수시모집,만 18세 ~ 39세,제한없음,재직자,제한없음,제한없음,관내 중소·중견 제조기업에 정규직으로 취업한 김제시 청년(만 18~39세이하)으로  가구 기준중위소득 180% 이하인자,해당 없음,유사지원사업 참여자 제외(내일채움공제 희망키움통장 등),방문 또는 이메일 접수,신청서 주민등록초본 취업기업 사업자등록증 재직증명서 월 급여 명시된 근로계약서 피보험자격이력내역서,서류심사,해당 없음,http://www.gimje.go.kr,null,김제시청 경제진흥과,최영현 주무관,063-540-3338,-,- -,-,해당없음,일자리
124,R2023070716094,전북,지자체,진안군일자리센터,진안에서 취업을 준비하는 군민 또는 발달장애 청년을 대상으로 취업 상담 진행,일반인 발달장애 청년 대상 취업 상담 및 취업정보 제공 등,1개소,2023. 1. ~ 12.,2001,수시,만 99세 이하,제한없음,제한없음,제한없음,제한없음,진안군에 주민등록을 둔 군민,-,-,-,신청서,-,https://www.jinan.go.kr,https://www.jinan.go.kr,null,진안군청 농촌활력과 청장년지원팀,신민주 주무관,063-430-8057,전주기전대산학협력단,전주기전대산학협력단 정다민팀장,063-282-4046,일자리를 원하는 진안군민,일자리
125,R2023070716060,전북,지자체,대학 비진학 창업취업 학원비 지원금,대학에 비진학한 고등학교 졸업생(졸업연도만 지원)에게 1백만원 이내에서 창취업 학원비 지원,해당연도에 1백만원 지원,-,2023.01.01.~2023.12.31.,2005,졸업연도내,만 18세 ~ 19세,제한없음,미취업자,제한없음,고교 졸업 (해당연도 고등학교 졸업자),고등학생 졸업자,-,-,신청서류 구비하여 읍면사무소와 재단 평생교육팀 제출,지원신청서 및 개인정보 동의서 등 장학금 신청서류 일체,null,해당없음,https://www.jangsu.go.kr/,https://www.life114.co.kr/,행정지원과 평생교육팀,강지혜,063-350-2166,-,- -,-,-,교육
126,R2023070716058,전북,지자체,대학생 학자금 이자지원사업,한국장학재단 일반상환 및 취업후 상환 학자금(등록금) 대출자 이자 전액 지원,2022년 현재 학자금 대출 잔액이 있는 자,-,2023.01.01.~2023.12.31.,2005,1학기 5월 중 2학기 10월 중 (시군 별 상이),만 18세 ~ 65세,제한없음,제한없음,제한없음,대학 재학 대졸 예정,대학생,2022년 현재 학자금 대출 잔액이 있는 자,"- 지원대상 대학생과 부모 모두 타 시군으로 전출한 경우
- 지원대상자로 확정된 후 주소 변경 등으로 그 요건을 상실한 경우
- 고등교육기관에서 제적된 경우
- 허위사실 또는 이중으로 지원받은 경우
 ⇒ 1년간 이자지원 중단 부당수령액 환수조치 (1년이 되는 날이 속하는 월까지)",구비 서류 양식 작성 및 증빙서류 구비 읍면 제출 및 홈페이지 신청,지원신청서 및 개인정보 동의서,o 한국장학재단 심사후 지급,http://www.jangsu.go.kr/town/board/view.jangsu?menuCd=DOM_000000701005000000&boardId=BBS_0000025&dataSid=381148,https://www.kosaf.go.kr/ko/tuition.do?pg=tuition05_02_05,https://www.jangsu.go.kr,행정지원과 평생교육팀,강지혜,063-350-2166,-,- -,-,해당사항 없음,교육
